Capital,Nickname
Montgomery ,"Cotton State, Yellowhammer State"
Juneau ,The Last Frontier
Phoenix ,Grand Canyon State
Little Rock ,Natural State
Sacramento ,Golden State
Denver ,Centennial State
Hartford ,"Nutmeg State, Constitution State"
Dover ,"First State, Diamond State"
Tallahassee ,Sunshine State
Atlanta ,"Peach State, Empire State of the South"
Honolulu ,Aloha State
Boise ,Gem State
Springfield ,"Prairie State, Land of Lincoln"
Indianapolis ,Hoosier State
Des Moines ,"Hawkeye State, Corn State"
Topeka ,"Sunflower State, Jayhawker State"
Frankfort ,Bluegrass State
Baton Rouge ,"Pelican State, Creole State, Sugar State"
Augusta ,Pine Tree State
Annapolis ,"Free State, Old Line State"
Boston ,"Bay State, Old Colony State"
Lansing ,"Wolverine State, Great Lake State"
St. Paul ,"North Star State, Gopher State, Land of 10,000 Lakes, Land of Sky-Blue Waters"
Jackson ,Magnolia State
Jefferson City ,Show Me State
Helena ,"Treasure State, Big Sky Country"
Lincoln ,"Cornhusker State, Beef State"
Carson City ,"Silver State, Sagebrush State, Battle Born State"
Concord ,Granite State
Trenton ,Garden State
Santa Fe ,"Land of Enchantment, Sunshine State"
Albany ,Empire State
Raleigh ,"Tar Heel State, Old North State"
Bismarck ,"Flickertail State, Sioux State, Peace Garden State"
Columbus ,Buckeye State
Oklahoma City ,Sooner State
Salem ,Beaver State
Harrisburg ,Keystone State
Providence ,"Ocean State, Little Rhody"
Columbia ,Palmetto State
Pierre ,The Mount Rushmore State
Nashville ,Volunteer State
Austin ,Lone Star State
Salt Lake City ,Beehive State
Montpelier ,Green Mountain State
Richmond ,"The Old Dominion, Mother of Presidents"
Olympia ,"Evergreen State, Chinook State"
Charleston ,Mountain State
Madison ,"Badger State, America’s Dairyland"
Cheyenne ,Equality State
